Item_Identifier,Item_Fat_Content,Item_Type,Brand,Item_Name
FDP40,Regular,Frozen Foods,ITC,ITC Frozen Pizza
DRE12,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Diet Coke
DRF23,Low Fat,Hard Drinks,Red Bull,Red Bull Sugar-Free Energy Drink
FDX49,Regular,Canned,Heinz,Heinz Canned Tomato Soup
FDS23,Low Fat,Breads,Wonder,Wonder Low Fat Whole Wheat Bread
FDU11,Low Fat,Breads,ITC,ITC Multigrain Bread
FDW02,Regular,Dairy,Amul,Amul Full Cream Milk
FDY24,Regular,Baking Goods,Pillsbury,Pillsbury Chocolate Cake Mix
FDF50,Low Fat,Canned,Campbell's,Campbell's Low Fat Vegetable Soup
FDT48,Low Fat,Baking Goods,King Arthur,King Arthur Gluten-Free Flour
DRK37,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Low Fat Soft Drinks
NCK06,Low Fat,Household,Unilever,Unilever Low Fat Household Item
FDX35,Regular,Breads,Wonder,Wonder Regular Breads
FDJ10,Regular,Snack Foods,Lay's,Lay's Regular Potato Chips
NCU30,Low Fat,Household,Unilever,Unilever Low Fat Household Item
FDP03,Regular,Meat,Tyson,Tyson Regular Meat
FDB05,Low Fat,Frozen Foods,Birds Eye,Birds Eye Low Fat Frozen Foods
FDS45,Regular,Snack Foods,Lay's,Lay's Regular Potato Chips
FDW25,Low Fat,Canned,Del Monte,Del Monte Low Fat Canned Goods
NCN53,Low Fat,Health and Hygiene,Colgate,Colgate Low Fat Health and Hygiene
FDF17,Low Fat,Frozen Foods,Birds Eye,Birds Eye Low Fat Frozen Foods
FDQ27,Regular,Meat,Tyson,Tyson Regular Meat
NCW30,Low Fat,Household,Unilever,Unilever Low Fat Household Item
FDE36,Regular,Baking Goods,Pillsbury,Pillsbury Regular Baking Goods
FDT47,Regular,Breads,Wonder,Wonder Regular Breads
FDY39,Regular,Meat,Tyson,Tyson Regular Meat
NCU17,Low Fat,Health and Hygiene,Colgate,Colgate Low Fat Health and Hygiene
FDW38,Regular,Dairy,Amul,Amul Regular Dairy Products
FDW21,Regular,Snack Foods,Lay's,Lay's Regular Potato Chips
FDG33,Regular,Seafood,StarKist,StarKist Regular Seafood
NCT53,Low Fat,Health and Hygiene,Colgate,Colgate Low Fat Health and Hygiene
FDR01,Regular,Canned,Del Monte,Del Monte Regular Canned Goods
FDC60,Regular,Baking Goods,Pillsbury,Pillsbury Regular Baking Goods
FDA38,Low Fat,Dairy,Amul,Amul Low Fat Dairy Products
FDW60,Regular,Baking Goods,Pillsbury,Pillsbury Regular Baking Goods
FDK26,Regular,Canned,Del Monte,Del Monte Regular Canned Goods
FDN56,Regular,Fruits and Vegetables,Del Monte,Del Monte Regular Fruits and Vegetables
FDB36,Regular,Baking Goods,Pillsbury,Pillsbury Regular Baking Goods
FDO16,Low Fat,Frozen Foods,Birds Eye,Birds Eye Low Fat Frozen Foods
NCU53,Low Fat,Health and Hygiene,Colgate,Colgate Low Fat Health and Hygiene
