Transaction_ID,Payment_Method,Customer_ID,_Item_Identifier,_Outlet_Identifier,Transaction_Date,Units_Sold,Unit_Price,Unit_Margin
OD-1-13895,Credit Card,340,FDB05,OUT010,01-12-2022,2,28.03477811,0.280572815
OD-4-42725,Cash,123,FDW25,OUT018,12-12-2023,2,503.1458286,82.97872411
OD-4-19814,Credit Card,222,FDY24,OUT018,06-06-2022,3,318.521843,99.70588797
OD-1-70664,Cash,465,FDU11,OUT010,01-02-2024,3,25.26137365,12.30945528
OD-2-35273,Debit Card,472,FDW02,OUT013,03-09-2022,4,147.6781996,139.0541611
OD-5-3349,Credit Card,289,FDT48,OUT019,10-01-2024,5,451.8740318,438.070695
OD-2-62005,Cash,172,FDP40,OUT013,22-07-2023,5,46.91868704,37.94402344
OD-1-18577,Credit Card,369,FDF50,OUT010,25-07-2023,1,26.88336657,12.3081309
OD-1-10261,Credit Card,108,FDP03,OUT010,14-08-2023,4,6.860398537,0.129169077
OD-3-58321,Credit Card,487,FDB05,OUT017,03-11-2022,4,56.90300263,27.80714082
OD-1-53878,Credit Card,201,FDP03,OUT010,10-07-2022,4,6.860398537,3.577372073
OD-2-13931,Credit Card,215,FDF50,OUT013,06-06-2022,3,43.32688484,13.148825
OD-4-75218,Credit Card,393,NCK06,OUT018,07-02-2024,1,60.79252454,2.509633653
OD-2-34940,Debit Card,360,NCK06,OUT013,24-06-2023,2,45.83808551,13.78542379
OD-4-70389,Debit Card,236,FDP40,OUT018,10-04-2023,5,34.42402725,18.85719749
OD-2-22792,Cash,290,FDJ10,OUT013,04-06-2023,3,26.21847015,13.39605281
OD-1-34976,Cash,338,FDW25,OUT010,27-10-2022,5,129.6596375,107.2589359
OD-1-24997,Debit Card,398,FDU11,OUT010,17-04-2022,1,25.26137365,1.632072733
OD-5-42773,Debit Card,395,FDJ10,OUT019,06-01-2023,3,32.19175988,9.190676388
OD-1-29032,Cash,143,FDS23,OUT010,06-07-2022,2,313.6433547,85.70734913
OD-5-60221,Debit Card,184,FDX49,OUT019,02-01-2024,1,68.09822206,45.42546897
OD-5-17694,Debit Card,229,NCK06,OUT019,27-10-2023,4,51.76009174,10.47951064
OD-3-72236,Cash,377,NCU30,OUT017,19-03-2023,2,354.7770506,125.0718942
OD-3-69394,Credit Card,282,FDW25,OUT017,26-04-2022,1,374.2385868,168.5725565
OD-1-554,Debit Card,109,FDW02,OUT010,24-01-2023,5,282.7576445,30.95700418
OD-5-52153,Debit Card,430,FDU11,OUT019,07-06-2023,5,28.08346112,8.400373021
OD-4-26783,Debit Card,373,NCU30,OUT018,06-11-2023,1,288.2553715,241.6508301
OD-1-70194,Debit Card,419,FDP40,OUT010,19-07-2022,3,20.9340788,9.155948331
OD-5-69029,Debit Card,231,FDP40,OUT019,28-05-2023,5,34.88180534,8.85794387
OD-3-50955,Cash,357,NCN53,OUT017,19-06-2023,3,49.27073874,6.261388579
OD-5-12019,Debit Card,414,FDJ10,OUT019,11-09-2023,2,32.19175988,13.58759239
OD-1-66366,Cash,461,DRF23,OUT010,27-06-2023,4,57.71182436,27.23018074
OD-3-58455,Credit Card,109,FDS45,OUT017,25-06-2023,1,407.2114092,52.61917143
OD-1-50839,Cash,350,FDB05,OUT010,27-06-2023,5,28.03477811,0.697010696
OD-2-59368,Credit Card,413,DRF23,OUT013,08-06-2022,3,30.09940708,16.45890258
OD-2-5116,Debit Card,438,FDT48,OUT013,07-06-2022,3,241.1920631,116.8907985
OD-1-53860,Cash,277,NCK06,OUT010,11-02-2023,2,88.49748541,63.29179091
OD-2-20519,Cash,203,FDX35,OUT013,29-12-2023,4,31.36302106,23.28308209
OD-1-28966,Debit Card,289,FDP03,OUT010,19-03-2022,4,6.860398537,0.484719839
OD-4-44748,Debit Card,379,FDW02,OUT018,21-04-2023,1,307.6388341,170.2808576
